,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
46389,Voyager from the Unknown,0,1982,91,"Family,Fantasy,Sci-Fi",0.24074339667936195
233676,The Distance,0,2014,83,"Mystery,Sci-Fi",0.2406936429429108
131048,Gammera the Invincible,0,1966,86,"Action,Family,Sci-Fi",0.2405428266166271
266937,Infoholik,0,2017,90,"Comedy,Romance,Sci-Fi",0.2404804754621631
21518,The Venusian,0,1954,75,Sci-Fi,0.24047621980854256
46290,Srdecný pozdrav ze zemekoule,0,1983,98,"Comedy,Sci-Fi",0.24047329161148392
173821,Glasshouse,0,2021,97,"Drama,Sci-Fi,Thriller",0.2404106957870881
82847,This Is Not a Test,0,1962,73,"Drama,Sci-Fi",0.24038295059394155
135536,11:59,0,2005,102,"Mystery,Sci-Fi,Thriller",0.24030226572118124
78102,Progeny,0,1998,98,"Horror,Sci-Fi,Thriller",0.2401446685555219
69011,Secretul armei secrete,0,1988,88,"Comedy,Musical,Sci-Fi",0.2401065994518871
220610,1974: The Possession of Altair,0,2016,82,"Horror,Mystery,Sci-Fi",0.2400737218955964
42311,Sammy's Super T-Shirt,0,1978,58,"Family,Sci-Fi",0.24006521370623074
98119,Beyond,0,2000,91,"Adventure,Family,Sci-Fi",0.2400258860155084
223541,They Call Me Superseven,0,2016,85,"Action,Comedy,Sci-Fi",0.23996258773303744
50442,The American Way,0,1986,92,"Comedy,Sci-Fi",0.2399545567031512
93080,Spectres of the Spectrum,0,1999,94,"Drama,Sci-Fi",0.23988948899145882
173828,Aa Dekhen Zara,0,2009,117,"Action,Sci-Fi,Thriller",0.2398496460652584
193066,Plug & Pray,0,2010,90,"Documentary,Sci-Fi",0.23982435787807757
164266,The Seed,0,2021,91,"Comedy,Horror,Sci-Fi",0.23977053722566558
60841,Plan 10 from Outer Space,0,1995,80,"Comedy,Sci-Fi",0.2396788031926458
178262,Refl3ct,0,2021,65,Sci-Fi,0.23965218468371816
166963,Ghost Machine,0,2009,93,"Action,Sci-Fi,Thriller",0.23960494975332078
